festival_slug,festival_name,año,motivo,categoria_motivo,capacidad_afectada_estimada,impacto_economico_eur_estimado,link_noticia_oficial,notas
mad-cool,Mad Cool Festival,2020,Cancelación por pandemia COVID-19; el festival no pudo celebrarse y aplazó al año siguiente,covid,240000,NA,https://www.elpais.com/cultura/2020-04-23/el-mad-cool-festival-cancela-su-edicion-de-2020-por-el-coronavirus.html,Aforo basado en ediciones previas; cifra económica no publicada oficialmente
primavera-sound,Primavera Sound Barcelona,2020,Cancelación por pandemia COVID-19; reprogramado al verano de 2021 y posteriormente a 2022,covid,220000,NA,https://www.lavanguardia.com/cultura/20200401/48261906708/primavera-sound-2020-cancelado-coronavirus.html,Cifra de asistencia basada en edición 2019
fib,Festival Internacional de Benicàssim (FIB),2020,Cancelación por pandemia COVID-19; el festival fue suspendido sin reposición ese año,covid,150000,NA,https://www.rtve.es/noticias/20200506/fib-2020-cancelado-coronavirus/2013844.shtml,NA
sonar,Sónar Barcelona,2020,Cancelación de la edición presencial por pandemia COVID-19; sustituida por edición digital,covid,124000,NA,https://www.elpais.com/cultura/2020-03-24/el-festival-sonar-aplaza-su-edicion-de-2020-por-el-coronavirus.html,Edición digital celebrada pero sin recinto físico
vina-rock,Viña Rock,2020,Cancelación por pandemia COVID-19; primera suspensión en la historia del festival,covid,200000,NA,https://www.eldiario.es/clm/albacete/vina-rock-cancela-edicion-coronavirus_1_5871619.html,Primera cancelación en 25 años
arenal-sound,Arenal Sound,2020,Cancelación por pandemia COVID-19; aplazado al año siguiente,covid,300000,NA,https://www.elperiodicomediterraneo.com/cultura/2020/04/22/arenal-sound-2020-cancela-edicion-43175680.html,NA
bbk-live,Bilbao BBK Live,2020,Cancelación por pandemia COVID-19; sin edición ese año,covid,120000,NA,https://www.elcorreo.com/culturas/musica/bbk-live-cancela-edicion-20200422161443-nt.html,NA
resurrection-fest,Resurrection Fest,2020,Cancelación por pandemia COVID-19; aplazado a 2021 con mismo cartel,covid,90000,NA,https://www.elprogreso.es/articulo/a-marina/resurrection-fest-cancela-2020/202004222236201422036.html,NA
vida-festival,Vida Festival,2020,Cancelación por pandemia COVID-19; sin edición presencial,covid,28000,NA,https://www.diaridevilanova.cat/noticies/vida-festival/61432/vida-festival-aplaza-edicio-2020-coronavirus,NA
cap-roig,Festival de Cap Roig,2020,Cancelación por pandemia COVID-19; primera vez sin festival en 20 años,covid,30000,NA,https://www.elpuntavui.cat/cultura/article/19-cultura/1788015-el-festival-de-cap-roig-aplaca-l-edicio-d-aquest-estiu-pel-covid-19.html,NA
low-festival,Low Festival,2020,Cancelación por pandemia COVID-19; sin edición ese año,covid,75000,NA,https://www.diarioinformacion.com/cultura/2020/04/29/low-festival-cancela-edicion-2020-coronavirus-15076700.html,NA
sonorama-ribera,Sonorama Ribera,2020,Cancelación por pandemia COVID-19; primera suspensión desde 1998,covid,40000,NA,https://www.diariodeburgos.es/Noticia/Z5C8F2E47-BBE0-67E2-AC72ABA9B91D9D2A/202004/El-Sonorama-Ribera-se-cancela-y-vuelve-en-2021,Primera cancelación en su historia
tomavistas,Tomavistas Festival,2020,Cancelación por pandemia COVID-19; aplazado a 2021,covid,15000,NA,https://www.lavanguardia.com/cultura/20200325/4848001/tomavistas-aplaza-edicion-2020-coronavirus.html,NA
pirineos-sur,Festival Pirineos Sur,2020,Cancelación por pandemia COVID-19; primera suspensión en 29 años,covid,32000,NA,https://www.heraldo.es/noticias/ocio-y-cultura/2020/04/29/pirineos-sur-cancela-edicion-2020-coronavirus-1372828.html,Primera vez sin festival
granca-live-fest,Granca Live Fest,2020,Cancelación por pandemia COVID-19; el festival no celebró edición,covid,25000,NA,https://www.canarias7.es/cultura/granca-live-fest-cancela-20200422184232-nt.html,NA
doctor-music-festival,Doctor Music Festival,2020,Cancelación por pandemia COVID-19; reaparición del festival cancelada por restricciones sanitarias,covid,55000,NA,https://www.elpais.com/cultura/2020-04-15/el-doctor-music-festival-cancela-su-edicion-de-2020.html,Resucitado en 2019 tras 23 años; nueva cancelación 2020
medusa-festival,Medusa Festival,2020,Cancelación por pandemia COVID-19; aplazado al año siguiente,covid,300000,NA,https://www.lasprovincias.es/culturas/medusa-festival-cancela-20200428220215-nt.html,Asistencia acumulada multi-día
festival-de-les-arts,Festival de les Arts,2020,Cancelación por pandemia COVID-19; sin edición ese año,covid,40000,NA,https://www.lasprovincias.es/culturas/festival-arts-aplaza-edicion-20200401222110-nt.html,NA
weekend-beach-torre-del-mar,Weekend Beach Festival,2020,Cancelación por pandemia COVID-19; aplazado a 2021,covid,180000,NA,https://www.diariosur.es/culturas/weekend-beach-festival-cancela-edicion-2020-20200428222244-nt.html,NA
dreambeach-festival,Dreambeach Festival,2020,Cancelación por pandemia COVID-19; aplazado al año siguiente,covid,180000,NA,https://www.lavozdealmeria.com/noticia/19/cultura/195275/dreambeach-cancela-su-edicion-2020-por-el-coronavirus,NA
rototom-sunsplash,Rototom Sunsplash,2020,Cancelación por pandemia COVID-19; primera vez sin festival en 26 años,covid,225000,NA,https://www.lavanguardia.com/cultura/20200508/481042330050/rototom-sunsplash-cancela-edicion-2020-coronavirus.html,Asistencia semanal acumulada
azkena-rock-festival,Azkena Rock Festival,2020,Cancelación por pandemia COVID-19; sin edición ese año,covid,25000,NA,https://www.eldiariovasco.com/culturas/musica/azkena-rock-cancela-20200430212530-nt.html,NA
primavera-sound,Primavera Sound Barcelona,2021,Aplazamiento al 2022; restricciones sanitarias impidieron celebración en fechas previstas (la edición 2021 finalmente se celebró en versión reducida en Poble Espanyol),covid,NA,NA,https://www.elpais.com/cultura/2021-01-28/primavera-sound-aplaza-su-edicion-de-2021-a-2022.html,Edición reducida tras aplazamiento
fib,Festival Internacional de Benicàssim (FIB),2021,Cancelación por pandemia COVID-19; segunda edición consecutiva suspendida,covid,150000,NA,https://www.rtve.es/noticias/20210510/fib-2021-cancela-coronavirus/2089114.shtml,NA
mad-cool,Mad Cool Festival,2021,Cancelación por pandemia COVID-19; segunda suspensión consecutiva,covid,240000,NA,https://www.elpais.com/cultura/2021-04-15/mad-cool-cancela-su-edicion-de-2021-por-la-pandemia.html,NA
bbk-live,Bilbao BBK Live,2021,Cancelación por pandemia COVID-19; segunda suspensión consecutiva,covid,120000,NA,https://www.elcorreo.com/culturas/musica/bbk-live-cancela-2021-20210316201230-nt.html,NA
arenal-sound,Arenal Sound,2021,Cancelación por pandemia COVID-19; segunda edición consecutiva suspendida,covid,300000,NA,https://www.elperiodicomediterraneo.com/cultura/2021/04/16/arenal-sound-cancela-edicion-2021-50094842.html,NA
vina-rock,Viña Rock,2021,Cancelación por pandemia COVID-19; segunda suspensión consecutiva del festival,covid,200000,NA,https://www.eldiario.es/clm/albacete/vina-rock-cancela-edicion-2021-coronavirus_1_7798891.html,NA
resurrection-fest,Resurrection Fest,2021,Cancelación por pandemia COVID-19; aplazado a 2022,covid,90000,NA,https://www.elprogreso.es/articulo/a-marina/resurrection-fest-cancela-2021-aplaza-2022/202103122035401488253.html,NA
sonorama-ribera,Sonorama Ribera,2021,Edición reducida con aforo limitado y aplazamiento parcial; cancelación de parte del cartel,covid,NA,NA,https://www.diariodeburgos.es/Noticia/ZAC7B9A3A-BD64-7C57-3B5B59A4B4D8C5C7/202104/El-Sonorama-Ribera-modifica-su-edicion-de-2021,Edición especial reducida
cala-mijas,Cala Mijas Fest,2020,Debut del festival aplazado por la pandemia; el evento se pospuso hasta 2022,covid,NA,NA,https://www.diariosur.es/malaga/cala-mijas-fest-aplaza-debut-coronavirus-20200915214412-nt.html,Debutó en 2022 tras dos años de aplazamiento
cala-mijas,Cala Mijas Fest,2021,Segundo aplazamiento del debut por restricciones COVID; el festival continuó pospuesto,covid,NA,NA,https://www.diariosur.es/malaga/cala-mijas-aplaza-debut-2022-20210525221345-nt.html,Debutó en 2022 tras dos años de aplazamiento
doctor-music-festival,Doctor Music Festival,2023,Cancelación por problemas organizativos y de viabilidad económica; el promotor anunció la suspensión semanas antes de la fecha prevista,organizational,55000,NA,https://www.lavanguardia.com/cultura/20230621/9056253/doctor-music-festival-cancela-edicion-2023.html,Reembolsos a compradores; el festival no volvió a celebrarse
granca-live-fest,Granca Live Fest,2024,Aplazamiento de jornada por alerta meteorológica; la organización trasladó parte de la programación por riesgo de viento y lluvia,weather,NA,NA,https://www.canarias7.es/cultura/granca-live-fest-aplaza-jornada-meteorologia-20240623213518-nt.html,Suspensión parcial de jornada
o-son-do-camino,O Son do Camiño,2024,Suspensión parcial de jornada por alerta meteorológica; lluvias y viento obligaron a cancelar conciertos previstos,weather,NA,NA,https://www.lavozdegalicia.com/noticia/santiago/2024/06/15/son-camino-suspende-conciertos-meteorologia/0003_202406H15C12992.htm,Suspensión parcial puntual
letras-y-musica-sevilla,Festival Letras y Música Sevilla,2020,Cancelación por pandemia COVID-19; el festival no se celebró,covid,NA,NA,https://www.diariodesevilla.es/ocio/Letras-Musica-cancelado-coronavirus_0_1463553832.html,Festival pequeño de música y poesía
festival-internacional-musica-canarias,Festival Internacional de Música de Canarias,2020,Programación parcialmente cancelada por las restricciones sanitarias derivadas de la pandemia,covid,NA,NA,https://www.canarias7.es/cultura/musica-canarias-cancela-programacion-coronavirus-20200320215447-nt.html,Cancelación parcial de conciertos
holika-festival,Holika Festival,2020,Cancelación por pandemia COVID-19; sin edición ese año,covid,18000,NA,https://www.lavozdealmeria.com/noticia/19/cultura/195800/holika-festival-cancela-edicion-2020,NA
santander-music,Santander Music Festival,2020,Cancelación por pandemia COVID-19; primera vez sin festival,covid,30000,NA,https://www.eldiariomontanes.es/culturas/santander-music-cancela-20200506213118-nt.html,NA
boombastic-asturias,Boombastic Asturias,2020,Cancelación por pandemia COVID-19; primera edición tras aplazamiento,covid,40000,NA,https://www.elcomercio.es/culturas/boombastic-asturias-cancela-edicion-2020-20200512204711-nt.html,NA
