"festival_slug","festival_name","city","venue","bus_oficial","tren_directo","metro_cercano","distancia_a_estacion_km","ultimo_transporte_publico_hora","taxi_min_eur","score_conectividad","recomendacion_transporte"
"resurrection-fest","Resurrection Fest","Viveiro","Recinto Festival Resurrection","false","false","false","55","21:00","90","0","Carpooling o coche compartido — estación FEVE de Viveiro a 55 km sin tren directo desde la mayoría de orígenes; sin lanzadera oficial nocturna"
"atlantic-fest","Atlantic Fest","Vilagarcía de Arousa","Praia de Compostela","false","true","false","3","22:30","12","39","Tren cercanías Vilagarcía + carpooling — sin bus oficial; último cercanías 22:30"
"aquasella-festival","Aquasella Festival","Arriondas","Prado Lloviu","false","false","false","8","20:30","25","7","Carpooling indispensable — Arriondas tiene tren FEVE pero termina a las 20:30; sin bus oficial al recinto"
"dreambeach-festival","Dreambeach Festival","Villaricos","Playa de Villaricos","true","false","false","42","02:00","75","40","Bus oficial Almería-Villaricos único transporte público viable; estación tren más cercana en Almería (42 km)"
"o-son-do-camino","O Son do Camiño","Santiago de Compostela","Monte do Gozo","true","true","false","4","03:00","15","79","Bus lanzadera oficial desde Santiago + estación de tren urbana a 4 km"
"vina-rock","Viña Rock","Villarrobledo","Recinto Festero","true","true","false","1","00:30","8","70","Tren Renfe Larga Distancia parada Villarrobledo + bus oficial Madrid"
"bbk-live","Bilbao BBK Live","Bilbao","Kobetamendi","true","false","true","5","02:00","15","68","Lanzadera gratuita oficial desde plaza Moyúa + metro Bilbao L1/L2 en centro"
"mad-cool","Mad Cool Festival","Madrid","Iberdrola Music Madrid","false","false","true","1","02:30","12","40","Metro L3 hasta Villaverde Alto + bus EMT; sin lanzadera oficial dedicada"
"primavera-sound","Primavera Sound","Barcelona","Parc del Fòrum","false","false","true","0.3","05:00","12","40","Metro L4 Maresme/Fòrum directo + tranvía T4; transporte público nocturno toda la noche"
"sonar","Sónar Barcelona","Barcelona","Fira Montjuïc + Gran Via L'Hospitalet","false","false","true","0.5","05:00","10","40","Metro L1 Espanya/L9 Foc + Renfe Cercanías; nocturnos NitBus"
"fib","FIB Benicàssim","Benicàssim","Recinto FIB","true","true","false","2","01:00","8","79","Tren Renfe Larga Distancia Benicàssim + lanzaderas oficiales gratuitas; estación a 2 km recinto"
"arenal-sound","Arenal Sound","Burriana","Playa del Arenal","true","false","false","3.5","01:00","10","49","Bus oficial desde Castellón Norte; sin tren directo a Burriana — Renfe a Vall d'Uixó (15 km)"
"medusa-festival","Medusa Festival","Cullera","Playa Racó","true","true","false","2.5","02:00","8","79","Renfe Cercanías C-1 Valencia-Cullera + lanzadera oficial al recinto"
"sonorama-ribera","Sonorama Ribera","Aranda de Duero","Plaza del Trigo + recinto ferial","true","false","false","1.5","02:30","8","50","Bus ALSA Madrid-Aranda; sin tren directo (estación Aranda-Chelva cerrada desde 2011)"
"cala-mijas","Cala Mijas Fest","Mijas Costa","Hipódromo Costa del Sol","true","true","true","3","01:30","15","99","Cercanías Renfe C-1 Fuengirola + lanzadera oficial; metro Málaga a 25 km"
"zevra-festival","Zevra Festival","Valencia","Marina Sur","false","false","true","1","02:30","10","40","Metro Valencia L4/L6 Marina Reial directo; sin bus oficial dedicado"
"low-festival","Low Festival","Benidorm","Ciudad Deportiva Guillermo Amor","true","true","false","3","01:00","10","79","TRAM Alicante-Benidorm + lanzadera oficial al recinto"
"tomavistas","Tomavistas Festival","Madrid","Parque Tierno Galván","false","false","true","0.5","02:30","8","40","Metro L3 Méndez Álvaro / L6 Sainz de Baranda; sin bus oficial necesario"
"cruilla","Cruïlla Barcelona","Barcelona","Parc del Fòrum","false","false","true","0.3","05:00","12","40","Metro L4 Maresme/Fòrum + tranvía T4 + NitBus toda la noche"
"vive-latino","Vive Latino España","Zaragoza","Recinto Expo","false","false","true","1.5","01:00","12","40","Tranvía línea 1 Zaragoza Expo + bus 34/107; sin lanzadera oficial dedicada"
"festival-de-les-arts","Festival de les Arts","Valencia","Ciutat de les Arts","false","false","true","1.2","02:30","10","40","Metro L10 Quevedo o L4 Amistat-Avenida Francia + EMT"
"jazzaldia","Heineken Jazzaldia","San Sebastián","Plaza Trinidad + escenarios urbanos","false","true","false","1","01:00","8","50","Renfe Cercanías Donostia + Euskotren; festival urbano sin recinto único"
"metropoli-gijon","Metrópoli Gijón","Gijón","Recinto Ferial Luis Adaro","true","true","false","2","00:30","10","69","Renfe Gijón-Cercanías + bus ALSA urbano 4/14"
"granada-sound","Granada Sound","Granada","Cortijo del Conde","true","false","false","7","01:30","18","48","Bus oficial desde centro Granada; sin tren ni metro al recinto (a 7 km centro)"
"pirineos-sur","Pirineos Sur","Lanuza","Auditorio Natural Lanuza","true","false","false","28","21:00","80","31","Bus ALSA Sallent + lanzadera oficial Sallent-Lanuza; última frecuencia muy temprana"
"starlite-marbella","Starlite Marbella","Marbella","Cantera de Nagüeles","false","false","false","1.5","02:00","12","20","Sin bus oficial dedicado; bus público Avanza Marbella + taxi nocturno"
"download-madrid","Download Festival Madrid","Madrid","Caja Mágica","false","false","true","1.2","02:30","10","40","Metro L3 San Fermín-Orcasur + EMT; cerca de M-30"
"azkena-rock-festival","Azkena Rock Festival","Vitoria-Gasteiz","Mendizabala","true","true","false","2.8","23:30","12","69","Bus urbano TUVISA L4/L7 + lanzadera oficial centro; última frecuencia 23:30"
"granca-live-fest","Gran Canaria Live Festival","Las Palmas","Pista de Atletismo","true","false","false","3.2","01:00","15","49","Bus Global líneas 25/30/45 + lanzadera; sin tren en la isla"
"rototom-sunsplash","Rototom Sunsplash","Benicàssim","Recinto Festival Rototom","true","true","false","2","01:00","8","79","Renfe Benicàssim + lanzaderas oficiales gratuitas durante 8 noches"
"dcode-festival","DCode Festival","Madrid","Campus Universidad Complutense","false","false","true","0.4","02:30","8","40","Metro L6 Ciudad Universitaria directo recinto"
"creamfields-andalucia","Creamfields Andalucía","El Puerto Santa María","Hipódromo Costa Oeste","true","true","false","5","01:30","15","78","Renfe Cercanías C-1 Puerto Santa María + lanzadera oficial"
"festival-de-musica-de-barakaldo","Festival de Música de Barakaldo","Barakaldo","Bilbao Exhibition Centre","false","false","true","0.3","02:00","8","40","Metro Bilbao L2 Bagatza/Ansio directo BEC"
"festival-de-musica-de-irun","Festival de Música de Irun","Irun","Ficoba","false","true","false","1.2","01:00","10","50","Renfe Cercanías C-1 + Euskotren Topo Irun; sin metro"
"festival-de-musica-de-donostia-hiria","Festival Música Donostia Hiria","San Sebastián","Anoeta","false","true","false","0.8","01:00","10","50","Renfe Cercanías Anoeta directo + Dbus L26/L28"
"stone-music-festival","Stone & Music Festival","Mérida","Teatro Romano","false","true","false","2","23:00","10","39","Renfe Larga Distancia Mérida + bus urbano L1; última frecuencia 23:00"
"marenostrum-fuengirola","Marenostrum Fuengirola","Fuengirola","Sohail","false","true","true","1.5","02:00","8","70","Cercanías Renfe C-1 Fuengirola + bus urbano; final línea C-1"
"tio-pepe-festival","Tío Pepe Festival","Jerez de la Frontera","Bodegas Tío Pepe","false","true","false","1.8","21:30","10","39","Renfe Larga Distancia Jerez; última frecuencia muy temprana"
"sos-48","SOS 4.8 Murcia","Murcia","La Fica + ifEpe","true","true","false","3","01:30","12","79","Renfe Murcia del Carmen + bus LAT 39/44 + lanzadera oficial"
"mallorca-live-festival","Mallorca Live Festival","Calvià","Antiguo Aquapark Magaluf","true","false","false","12","02:30","28","46","Bus oficial Palma-Magaluf nocturno; sin tren en zona oeste isla"
"bbk-music-legends","BBK Music Legends","Sondika","Hipódromo Bilbao","true","true","false","4","01:00","22","79","Renfe Cercanías Sondika + bus Bizkaibus A3514 + lanzadera oficial"
"reggaeton-beach-festival","Reggaeton Beach Festival","Salou","Recinto PortAventura","true","true","false","2","01:30","12","79","Renfe Cercanías Salou-PortAventura directo + lanzadera oficial"
"portamerica","PortAmérica","A Estrada","Carballeira de Caldas","false","false","false","18","21:00","45","4","Carpooling indispensable — sin tren ni bus directo a Caldas de Reis (18 km estación)"
"festival-ortigueira","Festival Internacional do Mundo Celta","Ortigueira","Praza de Espanha","false","false","false","32","22:00","55","0","Carpooling o coche propio; estación FEVE Ortigueira pequeña; ALSA con frecuencias limitadas"
"festival-de-musica-vilamarchante","Festival de Música Vilamarchante","Vilamarchante","Polideportivo Municipal","false","false","false","8","21:30","22","7","Sin tren ni bus directo nocturno; coche propio o carpooling"
"reggae-spirit-canet","Reggae Spirit Canet","Canet d'En Berenguer","Playa Norte","false","true","false","1.5","01:00","10","50","Renfe Cercanías C-6 Canet de Berenguer + lanzadera al recinto"
"ebrovision","Ebrovisión","Miranda de Ebro","Recinto Ferial Las Norias","false","true","false","1.8","22:30","10","39","Renfe Cercanías + Larga Distancia Miranda + bus urbano; última frecuencia 22:30"
"festival-de-jazz-de-vitoria","Festival de Jazz de Vitoria","Vitoria-Gasteiz","Polideportivo Mendizorroza","false","true","false","1.6","23:00","8","39","Renfe Vitoria + TUVISA L1/L6; sin metro"
"santander-music","Santander Music Festival","Santander","Campa de la Magdalena","false","true","true","2.5","01:00","10","69","Renfe Cercanías Santander + TUS L4 + Funicular Magdalena"
"weekend-beach-torre-del-mar","Weekend Beach Festival","Torre del Mar","Playa de Poniente","true","false","false","7","02:00","18","48","Bus oficial Málaga-Torre del Mar; sin tren al recinto (Cercanías hasta Málaga centro)"
"cooltural-fest","Cooltural Fest","Almería","Recinto Ferial El Toyo","true","true","false","2.5","00:30","10","69","Renfe Almería + bus oficial; sin lanzadera nocturna después de 00:30"
"holika-festival","Holika Festival","Vélez-Rubio","Polideportivo Municipal","false","false","false","38","20:00","75","0","Carpooling indispensable — estación tren más cercana en Almería (110 km); sin transporte público nocturno"
